"","unlist.questions."
"34","인턴 때는 평가 및 분석 직무를 했는데 왜 지원은 개발로 했나요?"
"35","창의, 능동적이라고 하셨는데 사례가 있나요?"
"36","확신한 근거는? 그리고 실패했을 때 책임은 어떻게 지려고 했나요?"
"37","이직 사유는 무엇인가요?"
"38","가장 힘들었던 경험을 말해보세요."
"39","지원한 직무가 무엇인지 알고 있나요?"
"40","군대를 상당히 늦게 간 편인데 이유가 있나요?"
"41","자격증이 많은 편인데, 본인 만의 노하우가 있나요?"
"42","다른 지원자보다 뛰어난 점은 무엇인가요?"
"43","반도체 분야에 지원한 이유는 무엇인가요?"
"44","회사 지원동기를 말해보세요."
"45","자격증란이 비어있는 이유는 무엇인가요?"
"46","(개인)오늘 정장을 입은 지원자가 많았는데, 비즈니스 캐주얼을 입은 이유는?"
"47","(개인)영어 점수가 낮은데 학교에서 진행한 영어 성적이 높은 이유는?"
"48","본인이 창의성이 있는 지원자라 생각하는가?"
"49","교환학생을 다녀오지 않았는데, 해외 업무에 지장이 없겠나? (임원면접)"
"50","주 52시간 근무제에 대해 어떻게 생각하나?"
"51","이 면접 떨어지면 어떨 것 같은가?"
"52","삼성전자 외에 지원한 기업이 있나요?"
"53","삼성전자와 SK하이닉스 둘다 붙으면 어디를 선택할 것인가요?"
"54","휴학 기간 동안은 뭘 했나요?"
"55","창의성 면접) 본인의 창의적인 경험이 있다면?"
"56","직무 면접) 본인이 하고싶은 업무가 있다면?"
"57","임원 면접) 자신의 학과에 대해 자랑을 해보세요."
"58","반도체 공부는 어디서 했나요?"
"59","본인은 리더형인지 필로워형인지 설명해라."
"60","그럼 팔로워 십은 없는 것인가?"
"61","지원한 분야가 본인하고 잘 안맞으면 어떻게 할 것인가?"
"62","전공과 다른 분야인데 지원한 이유는 무엇인가?"
"63","설비직무를 선택하셨는데 본인이 설비직무를 수행함에 있어서 어떠한 장점들이 있는지?"
"64","영어점수가 낮은데 왜 그런가요?"
"65","창의적으로 한 경험을 말해주세요"
"66","회사에서 중요하다고 생각하는 가치가 무엇인가요?"
"67","새벽 2시에 기계가 고장났는데 선배가 없어요 어떡할건가요?"
"68","새벽이라 전화를 안받으면 어떡하죠?"
"69","그것도 안된다면 어떡할건가요?"
"70","본인과 선배가 둘이서 현장에서 일을 한다면 본인은 무엇을 할 것이죠?"
"71","본인 직무에 맞지 않는 일을 한다면 어떡할 건가요?"
"72","자신의 단점 3가지? (인성)"
"73","대외활동이 많은데, 학업과 어떻게 병행했나? (인성)"
"74","지원 동기 (인성, 창의성 모두)"
"75","패러데이의 전자유도법칙과 렌츠의 법칙에 대해 설명해 주세요."
"76","1분PR(자기소개)"
"77","천장크레인 자격증이 있는데 무슨 일을 하고 직접 운전할 수 있나요?"
"78","항만물류고는 기본적으로 천크를 따나요?"
"79","현장에서 여자들이 작업복을 입고 작업화를 신고 그러는데 어떠세요?"
"80","주말 근무와 야근이 많을 텐데 괜찮으시겠어요?"
"81","한전이 전기 최고의 기업인데 왜 삼성전자에 지원하셨습니까?"
"82","힘들 때 누구에게 조언을 받나요?"
"83","패러데이 법칙과 렌츠에 법칙에 대하여 설명하고 공통점과 차이점에 대하여 설명하세요."
"84","변압기의 원리에 대하여 설명해주세요.(전공 추가 질문)"
"85","친구를 사귈때 가장 중요하게 생각하는 부분이 무엇인가요?"
"86","친구와 갈등경험, 어떻게 풀어나갔나요?"
"87","내가 남들보다 뛰어나다고 생각하는점은?"
"88","삼성전자 지원많이 하신것 같은데 이번이 몇번째 지원이고 다 같은 직무 지원했나요?"
"89","공백기가 조금있는데 그때동안 뭐했냐? 다른데 붙은덴 없냐?"
"90","현재 붙은 외국계 기업이 글로벌엔지니어가 될수있고 엔지니어로서 또한 글로벌적 측면으로 경쟁력을 쌓을 수 있을것 같은데 왜 우리회사가 0순위 인가요?"
"91","본인의 장점은 무엇인가?"
"92","1학년때 무엇을 하고 놀았는지?"
"93","존경하는 사람?"
"94","주변사람들이 말하는 자신의 단점"
"95","창의력을 발휘해본 경험"
"96","리더쉽이 있는 편인지"
"97","재이수가 많은데 왜 그러나?"
"98","중국에서 살다 왔는데 중국어 잘하나?"
"99","본인이 생각하는 창의성이란?"
"100","미국에서 인턴했는데왜 미국에서 취업안했는지?"
"101","영어구사력은 어느정도인지?"
"102","왜 반도체 회사에 지원했는지?"
"103","중국 유학에 대해 물어보셨다."
"104","향후 하고 싶은 직무분야는?"
"105","본인이 생각하는 창의성이란?"
"106","전공피티) 열전달 문제를 선택한 이유는?"
"107","임원면접) 졸업유보하고 뭐했냐?"
"108","임원면접) 설비직이 무슨일을 하는곳인지 아나?"
"109","임원면접) 직무지원동기"
"110","꼼꼼함을 보일 수 있는 사례"
"111","취미생활은?"
"112","최근에 가본 곳이나 문화생활 즐겼던 것에대해 말해봐라."
"113","우리 회사를 알고 지원했는가?"
"114","팀 활동을 하면서 힘든 일이 생긴다면 어떻게 하겠는가?"
"115","직무에 왜 적합한가?"
"116","국내영업에 지원한 이유는 무엇인가?"
"117","왜 삼성전자에 오고 싶은가?"
"118","학과랑 삼성전자 영업마케팅이랑 무슨 상관인가?"
"119","학점이 좋은데, 공부만 했나?"
"120","10년 후의 지원자는 어떨 것 같은가?"
"121","끈기있게 시도했던 경험에 대해 말해보시오."
"122","삼성의 보완점을 제시해보시오."
"123","이 자리에 오기 위해서 그동안 무엇을 준비했는가?"
"124","지원동기"
"125","친구가 몇 명인가?"
"126","회사의 수익과 사회공헌 중 무엇이 더 중요한가?"
"127","인상 깊게 들은 과목이 무엇인가?"
"128","자신이 해당 직무에 적합한 이유에 대해 말해보시오."
"129","가고 싶은 부서가 있나요?"
"130","왜 삼성전자를 지원했나요?"
"131","직장상사가 본인보다 어린 경우, 어떻게 대처할 것인가요?"
"132","보니까 OOO 교수님한테 졸업 프로젝트를 들었던데, 잘 계신가요?"
"133","인턴 때 우수사원에 뽑혔던데, 비결이 뭔가요?"
"134","인턴 실습을 진행한 부서 말고 다른 부서에서 일하고 싶은 생각도 있나요?"
"135","전환되면 여기에 올 건가요?"
"136","졸업 프로젝트 주제를 보니, 학사 치고 괸장히 advance한 프로젝트를 진행했는데, 석사 생각은 없나요?"
"137","본인의 단점은 무엇인가요?"
"138","취미생활에 대해 말해보세요."
"139","상사와 이견이 있을 때는 어떻게 할 것인가요?"
"140","디자인 패턴에 대해 아는 대로 말해보라."
"141","왜 삼성이어야 하는가?"
"142","지금 부르면 30분 내로 달려온 친구가 몇 있는가?"
"143","장점은?"
"144","학점이 좋지 않은 이유?"
"145","설비엔지니어 선택 이유?"
"146","그렇다면 우리는 어떻게 해야 하나?"
"147","디지털 프라자에 가 봤나?"
"148","삼성전자 CE/IM 사업부가 어떻게 구성되는지 아는가?"
"149","학점이 높은데, 공부만 했나?"
"150","3D 프린터와 같은 Rapid Prototyping tool 사용 경험이 있나?"
"151","가장 인상 깊었던 프로젝트 경험에 대해 말해보시오."
"152","가장 힘들었던 경험에 대해 말해보시오."
"153","지원자는 엔지니어와 디자인의 융합을 어떻게 생각하는가?"
"154","1년 동안 휴학을 했는지 말해보시오."
"155","1분 동안 PR을 해보시오."
"156","공백 기간 동안 무엇을 했는가?"
"157","마지막 학기에 F는 왜 받았는가?"
"158","마지막으로 한마디 하고 싶은 말이 있는가?"
"159","무언가에 도전했던 경험에 대해 말해보시오."
"160","반도체 공정과 관련한 세부 경험이 있는가? 자세히 말해보시오."
"161","삼성이 사회공헌사업을 더 확장해야 하는가?"
"162","성격의 장단점에 대해 말해보시오."
"163","아르바이트 경험에 대해 말해보시오."
"164","이수한 전공이 부족해보이는데, 그 이유가 무엇이라 생각하는가?"
"165","입사 후 어떤 일을 하고 싶은가?"
"166","자기소개해보시오."
"167","존경하는 인물은 누구인가? 해당 인물이 한 명언을 말해보시오. 그리고 그 명언이 지원자의 인생에 어떤 영향을 미쳤는가?"
"168","졸업유예를 하지 않은 이유는 무엇인가?"
"169","지원 동기가 무엇인가?"
"170","지원자의 단점은 무엇인가?"
"171","지원한 부서에서 전공과 관련해서 어떠한 역할을 할 수 있을지에 관해 영어로 답변하라."
"172","집 앞 신호등이 빨간 불이지만, 차가 오지 않는다면 건너겠는가?"
"173","창의적으로 문제를 해결한 경험에 대해 말해보시오."
"174","프로젝트를 진행하면서 어려웠던 점이 있나? 어려운 점을 극복하기 위해 지원자가 한 역할은 무엇이었는가?"
"175","이력서에 적힌 해외경험을 통해 지원자가 느낀 점과 지원자의 강점은 무엇인가?"
"176","지원자의 장단점은 무엇인가?"
"177","왜 여기에 지원했는가?"
"178","10년 후 손목 터널증후군 환자가 줄어든다. 왜 그런가?"
"179","본인이 원하는 부서가 아니라도 일할 수 있는가?"
"180","와서 어떤 일을 하고 싶은가?"
"181","전공과 결부하여 지원자가 회사에 어떤 기여를 할 수 있는지 말해보시오."
"182","직무 관련하여 얼마나 알고 있는가?"
"183","직장 상사가 부당한 일을 처리하라고 시킨다면 당신은 어떻게 대답할 것인가?"
"184","취업 전 공백기에는 무엇을 했는가?"
"185","그럼 그 안전사고의 예방법은 어떤 것들이 있을까요?"
"186","여기 보니 존경하는 사람이 OO OOO 선생인데, 이 사람이 누구죠?"
"187","자동차를 자전거로 대체하는 창의적인 방안을 설명해주셨는데, 자전거가 많아지면 문제점은 없을까요?"
"188","특기란에 `다른 사람의 마음을 얻는 법` 이건 뭐죠?"
"189","10년 후 손목터널증후군 환자가 줄어든다. 왜 그렇다고 생각하는가?"
"190","인성면접에서 인생에서 가장 중요하게 생각하는 것이 무엇인가."
"191","창의성 면접에서 본인이 창의적인 사람이라고 생각하는 이유는 무엇인가?"
"192","요즘 각 기업에서PB상품을 많이 내어 놓는다. 그 기업 브랜드 상품을 어떻게 바라보며 어떻게 활용할 것인가?"
"193","높이 위치 촉각 등을 이용하여 맞벌이 부부들이 아기를 키울 때 도움이 될 수 있는 20년 뒤 기술을 작성하여라."
"194","본인이 생각하는 겸손함의 정의가 무엇인가?"
"195","삼성전자에 대해 알고 있는 것에 대해 말해주십시오."
"196","DS부문, IM부문, CE부문을 말씀하셨는데 정확히 어떤 의미를 뜻하는지 알고 계십니까?"
"197","자기소개해보세요"
"198","왜 삼성에 지원했나요?"
"199","취미가 무엇인가요?"
"200","감명깊게 읽은 책은 무엇인가?"
"201","살면서 힘들었던 경험은 언제였는가? 극복방안은?"
"202","마지막으로 하고 싶은 말이 있는가?"
"203","요즘 삼성과 관련하여 눈여겨 볼 이슈에 대하여"
"204","자기주장이 강한편인가?"
"205","회사의 제품에 대해 소개해 보시오"
"206","자신을 남에게 빗대어 표현한다면?"
"207","1억이 생기면 무엇을 하겠는가?"
"208","삼성의 이미지는 어떠한가?"
"209","삼성 핸드폰이 소프트웨어에서 부족한 점이 무엇이라고 생각하는지 구체적으로 말하시오"
"210","소프트웨어관련직종에 종사하는 아는사람이 있는가?"
"211","어떤 스타일의 직원과 일하고 싶으며, 반대로 어떤 스타일의 직원과는 일을 하기 싫은지?"
"212","본인이 살아오면서 가장 정직하게 했던 행동은?"
"213","희망연봉이 어떻게 되세요???"
"214","노조 없는 회사에 대한 본인의 의견은?"
"215","최근들어 가장 화가 났던 경험은?"
"216","평소 어울리는 친구들을 소개해보시오"
"217","이름이 뭐예요???"
"218","조직내에서 팀웍이 잘 이루어 질려면 무엇이 가장 중요하다고 생각합니까?"
"219","학교는 어디 나왔써요????"
"220","회사규정에 따른다고 되어 있는데 실제 생각하고 있는 연봉이 있나요??"
"221","실수를 통해서 얻은 교훈이 있다면???"
"222","다른 회사에 지망했던 곳은 어디입니까?"
"223","당신의 꿈은 무엇입니까?"
"224","자기소개"
"225","가장 하고싶은것, 가장 갖고싶은것, 가장 되고싶은것은?"
"226","자기소개"
"227","학생시절 아르바이트를 많이 했나요?"
"228","학생시절 아르바이트를 많이한 경험이 있습니까?"
"229","자신이 존경하는 인물은 누구인가?"
"230","기업이란 무엇이라고 생각하세요?"
"231","영어 잘하시나요?"
"232","자바를 활용한 일상생활에서의 도구들을 한번 말해보세요."
"233","다른 사람들과 협력하여 좋은 결과를 이루어낸 적이 있는가?"
"234","마지막으로 하고 싶은 말은?"
"235","성격이 밟으면 오히려 속으로 상처가 많은 법이다 그렇지 않은가?"
"236","스피킹 점수가 이 정도면 어느 수준인가?"
"237","앞으로 삼성전자의 나아갈 방향은?"
"238","어느 분야에서 일하고 싶은가? 3교대도 상관 없는가?"
"239","왜 삼성전자에 들어오고 싶은가? 단순히 대기업이기 때문에?"
"240","대학원을 선택한 이유는?"
"241","저번에 지원했을 때와 직무를 바꿔서 지원한 이유는?"
"242","편입을 한 이유는?"
"243","존경하는 인물은?"
"244","사회적 기업(=NGO)의 역할에 대한 견해를 밝히시오"
"245","리더십이란 무엇인가 사례를 들어 설명하세요"
"246","회계란 무엇인가?"
"247","근무시 여가시간이 많이 사라질텐데 상관없는가?"
"248","단점을 깨닫게된 경험을 말해보라"
"249","리더로서 조직의 변화를 이끈 경험이 있는가?"
"250","본인의 전공 관련하여 가장 중요한 기초지식이 무엇이라고 생각하는가?"
"251","본인이 지원한 직무 이외의 직무를 배정받아도 괜찮은가?"
"252","어학연수를 다녀오지 않은 이유는? 후회는 하지 않는가?"
"253","영어성적이 좋지않은데 외국어 능력향상에는 관심이 없는가?"
"254","우리 회사를 지원한 동기는 무엇인가?"
"255","자기PR을 1분간 해보아라."
"256","제주 해군기지에 대해 어떻게 생각하는가?"
"257","지원동기를 자신의 장점과 연관지어 말해보라."
"258","카카오톡에 저장되어있는 친구들의 수는? 많다고 생각하는가? 적다고 생각하는가?"
"259","경력 , 장단점을 말하세요"
"260","노조에 대해 어떻게 생각하는가?"
"261","자신의 장단점을 위주로 1분 자기소개를 해보세요"
"262","본인의 장점과 단점을 어떻게 극복했는지까지 넣어 1분간 자기소개해보세요"
"263","간단히 자기소개를 해보세요"
"264","본인 취미나 특기는 어떻게 되나요?"
"265","인턴 근무하면서 배운 점은 무엇이며 스스로 고쳐나가야 할 점은 무엇인가?"
"266","회사에서 지정해 준 출근일에 바로 출근 가능한가요?"
"267","1분 자기소개를 해보라"
"268","강자와 약자의 소통을위해 필요한 것이 무엇인가?"
"269","공교육의 문제점이 무엇인가?"
"270","그 동안 면접 몇 번이나 보았나?"
"271","노조가 파업하는 이유는 무엇이라고 생각하나?"
"272","당신을 뽑아야 하는 이유가 있나?"
"273","마지막으로 하고 싶은 말을 해보세요"
"274","마지막으로 할 말이나 질문 있는가?"
"275","면접준비는 얼마나 했는가?"
"276","반값등록금 시위에 참여하였나? 참여하지 않았다면 그 이유는 무엇인가?"
"277","본인의 단점을 극복하기 위해 한 행동을 구체적으로 설명하라"
"278","본인의 취미를 말해보세요"
"279","분양가 상한가 폐지에 대한 논란에 대해 찬반토론해보라"
"280","사회구조에 문제가있다면 거기에 대항할것인가?"
"281","삼성전자 기업문화에 대해 말해보라"
"282","상사가 본인의 업무에 관해 안좋은 평가를 한다면 어떻게 할 것인가?"
"283","입사 후 연구하고 싶은 분야나 직무 방향을 말해보세요"
"284","장단점 위주의 자기소개를 해보라"
"285","지원동기는 무엇인가?"
"286","한국에는 왜 스티븐잡스 같은 사람이 안나오는가?"
"287","한국의 기업문화는 창의력 발전에 도움이 되는가? 안된다면 그 이유를 말해보라"
"288","한진중공업 사태에 관해 어떻게 생각하나?"
"289","Electrowetting display를 만들 때의 비극성 용매와 극성 용질 간의 용해도 개선에 관해 PT해보라"
"290","1분간 자기소개를 해보세요"
"291","어학연수 당시 기억남는 일은 무엇인가?"
"292","옴니아2 사용자 불만사태를 옴니아의 브랜드매니저로서 어떻게 해결할 것인가?"
"293","전공학점이 낮은데 전공역량이 떨어지는게 아닌가?"
"294","당신의 꿈은 무엇인가요?"
"295","미래에 당신의 인생을 되돌아 봤을 때 성공한 인생일 것 같은가요?"
"296","성격의 장단점이 포함된 자기소개를 해주세요"
"297","최근 사회문제에 대해 어떻게 생각하나요?"
"298","가장 어려웠던 문제를 해결한 경험은 무엇인가?"
"299","계획했던 목표 중 가장 의미 있었던 목표가 무엇인가?"
"300","바쁘게 활동하면서 학점이 높은 비결이 있는가?"
"301","배터리 제조공정에서 가장 중요한 것은?"
"302","출장이나 지방 근무가능한가요?"
"303","전고체 배터리가 부피팽창이 이루어지지않는 이유는?"
"304","존경하는 인물이 있나요?"
"305","품질관리자로써 어떤 일을 해보고 싶은지?"
"306","왜 품질 직무를 선택했는지?"
"307","영어로 자기소개를 해보세요."
"308","현대차의 수소산업, 넥쏘차량에 대해 아는 것 및 평가를 해보세요."
"309","이력서에 기재된 수상내역을 처음부터 끝까지 설명해보세요."
"310","해당 직무에 지원한 동기는?"
"311","해당 직무에서 가장 중요한 것은?"
"312","본인의 전공 및 수행한 프로젝트에 대해 설명해보세요."
"313","현대자동차에서 본인에게 기대하는 것이 무엇일지 말해보세요."
"314","재직 중임에도 지원한 이유는 무엇인가요?"
"315","전공이 전자전기인데, 이전에 자동차에 대해 공부한 경험이 있나요?"
"316","미래의 전장에는 어떤 기능이 있을 것 같다고 생각하나요?"
"317","희망하는 직무가 제어 플랫폼 사양 평가 쪽인 것 같은데, 제어 로직 설계에는 관심이 있나요?"
"318","상사가 아무것도 알려주지 않고 중요한 프로젝트를 맡겼다. 어떻게 하겠나요?"
"319","자동차가 중간에 가다가 멈췄을때, 어떤것이 문제일까요?"
"320","대외활동이 왜 없나요?"
"321","다른 회사 공채에도 지원했나요?"
"322","진행했던 프로젝트중 'OO프로젝트'의 구성인원과 역할을 설명해보세요."
"323","딥러닝을 수행하기 위해 굳이 로봇알고리즘 직무에 지원한 이유는 무엇인가요?"
"324","일반기계기사 자격증은 왜 취득했나요?"
"325","스마트 팩토리란 무엇인지 설명해보세요."
"326","기하공차란 무엇인가요?"
"327","마지막 할말 있으면 해보세요."
"328","생기 엔지니어로써 목표가 무엇인가요?"
"329","협력이 회사생활에서 왜 중요한가요?"
"330","현대자동차의 신사업은 무엇인가요?"
"331","RC 항공기 동아리 언제 했나요?"
"332","간단한 자기소개 및 지원동기를 말해보세요."
"333","대학생활 중 가장 몰입한 일은?"
"334","최근 뉴스기사 중 가장 기억에 남는 기사는?"
"335","인사 직무 희망 동기는 무엇인가요?"
"336","주변사람들이 평가하는 본인은?"
"337","본인의 장점은?"
"338","직무 지원동기를 말해보세요."
"339","회사 지원동기는 무엇인가요?"
"340","입사후 포부는 무엇인가요?"
"341","자소서에 써있는 전공과 관련된 단점 말고 다른 단점을 얘기해보세요."
"342","운동을 자주 하는 것 같은데 공부는 평소 어떻게 하나요?"
"343","보전에서 중요하다고 생각하는 것은 무엇입니까?"
"344","최근에 본 영화는 무엇인가요?"
"345","가장으로 써 가장 중요하다 생각되는 것은?"
"346","회사에서 가장 중요하다 생각 되는 것은?"
"347","금형 지원 이유는 무엇인가요?"
"348","팀프로젝트를 하면서 다른 팀원이 낸 아이디어를 거절한 상황이 있었는가?"
"349","새로운 아이디어를 주로 내는 편인가?"
"350","전시까지 얼마남지 않은 상황에서 새로운 아이디어에 대해 어느정도 성공가능성을 생각한건가?"
"351","지방에서 근무해야한다면 어느 공장에서 근무하고 싶습니까?"
"352","친구들과의 서로 다른 의견을 조율해본 경험이 있습니까?"
"353","전공과 다른 직무를 선택한 이유는 무엇입니까?"
"354","PT면접) 현대자동차의 재해율에 대해 알고있는지?"
"355","인성면접) 만약 모두가 하기 싫은 일을 하게 됐다면 어떻게 할 것인가?"
"356","인성면접) 꼬리질문) 그런데도 동료가 도와주지 않는다면?"
"357","협력했던 경험은?"
"358","지방근무 괜찮은가요?"
"359","조직 내에서 변화를 시도한 경험?"
"360","가장 열정적으로 했던 프로젝트 경험은 무엇인가?"
"361","팀프로젝트를 하던 중 갈등을 겪었던 경험이 있나요?"
"362","현대자동차가 개척하고 있는 신시장을 아는가?"
"363","도전적인 목표를 세우고 or 도전적인 경험을 했던 프로젝트가 있나요?"
"364","이 분야에 지원하게 된 계기가 무엇인지?"
"365","본인은 OOO한 성격인 것 같은데 언제부터 이런 성격을 가지게 되었나요"
"366","도전적인 목표를 세우고 or 도전적인 경험을 했던 프로젝트가 있나요?"
"367","가동률이 무었인가요?"
"368","자동차 생산 과정에서의 구체적 설비를 아는지?"
"369","1분자기소개"
"370","미래의 꿈은 무엇이냐?"
"371","현대자동차에서 개선하고자 하는점"
"372","선택하지 않은 대안에 대해 선택하지 않은 이유를 말해보세요."
"373","지금까지 살아오면서 협력한 경험을 말해보세요."
"374","가장 힘들었던 순간은 언제이고 어떻게 극복했나요?"
"375","삶의 궁극적인 목표는 무엇인가요?"
"376","가장 도전적이었던 경험은 무엇이었나요?"
"377","구체적인 목표를 가지고 노력했던 경험을 자세히 말해보세요."
"378","성취를 위해 끊임없이 노력했던 경험이 있다면 얘기해보세요."
"379","여러 사람들과 협동해서 무언가를 해낸 경험이 있나요?"
"380","팀으로 계획을 세워 목표를 이룬 경험이 있나요?"
"381","프로젝트에서 주도적인 역할을 했던 경험을 말해보세요."
"382","본인의 사수가 10년간 엔진오일교체일만 시킨다면 어떻게 할 것인가요?"
"383","팀을 이뤄 했던 활동이 있습니까?"
"384","기사 자격증을 취득한 이유는 무엇입니까?"
"385","한전을 가지 않은 이유가 있습니까?"
"386","창의성이란 무엇이라고 생각하나요?"
"387","현대의 이미지는 어떤가요?"
"388","위기를 극복했던 경험"
"389","거주지와 근무지가 멀다고 생각하는 데 근무를 잘 할 수 있겠는가"
"390","현장에서 가장 중요한 것이 무엇이라고 생각하는가"
"391","대한민국에서 올바르게 부자가 된 사람은 몇 퍼센트라고 생각하나요?"
"392","대한민국의 가장 큰 문제점은 무엇이라고 생각하나요?"
"393","마지막으로 하고 싶은 말이 있습니까?"
"394","자동차에 대한 특별한 경험이 있습니까?"
"395","어떤 전공 지식이 설계에 적용이 될 수 있을까요?"
"396","왜 그 안건을 지지했고, 그 단점에 대해 보완할 수 있는 점은 무엇입니까?"
"397","왜 현대차에 지원한 이유는 무엇입니까?"
"398","자동차 관련된 실무 경험이 있나요?"
"399","현대차에 지원하게 된 동기를 말씀해주세요."
"400","현대차의 문제점이라고 생각하는 것은 무엇인가요?"
"401","품질 등급이 회사별로 어떻게 되는지 알고 있나요?"
"402","가격경쟁력 개선 방안은 무엇이라고 생각하나요?"
"403","친구들은 본인을 어떤 사람이라고 평가하나요?"
"404","팀 활동 중 기억에 남는 활동이 있습니까?"
"405","팀 활동으로 무슨 활동을 했습니까?"
"406","품질 개선 방안에 대한 본인의 의견을 말해보세요."
"407","품질이 필요하다고 생각하는 이유는 무엇입니까?"
"408","회사를 선택한 이유가 무엇입니까?"
"409","40대, 50대가 모바일 시스템을 잘 이해하지 못한다면 어떻게 해결 수 있을 것인가?"
"410","왜 그 안건을 지지했고, 그 단점에 대해 보완할 수 있는 점은 무엇입니까?"
"411","로또에 당첨된다면 어떤 기분이 들 것 같습니까?"
"412","마지막에 의견을 바꿨는데 바꾼 이유가 있습니까?"
"413","지방에서 근무를 할 수 있습니까?"
"414","지키기 힘들었던 규칙이 있습니까?"
"415","팀워크 활동하면서 본인이 맡았던 역할과 팀 프로젝트에 기여한 일은 무엇입니까?"
"416","팀워크를 이루었던 경험이 있습니까?"
"417","본인이 최근 3년 동안 도전적인 목표를 세우고 실천했던 경험이 있는가?"
"418","학창시절 팀 프로젝트로 무엇을 했고 어떤 역할을 했는가?"
"419","국내영업에 지원한 이유가 무엇인가?"
"420","면접이 끝나면 누구에게 가장 감사할 것인가?"
"421","소통이 무엇이라고 생각하는지 말해보라."
"422","술에 대한 본인의 생각은 어떠한가?"
"423","여성 지원자로서 강점이 무엇이 있는가?"
"424","인턴하면서 가장 좋았던 점은 무엇인가?"
"425","구체적으로 담당하고 싶은 업무 파트가 있나요?"
"426","본인은 따라가는 스타일인가요? 아니면 주도하는 스타일인가요?"
"427","본인을 가장 잘 표현해 내는 단어는 어떤 것입니까?"
"428","타인은 OOO씨를 어떤 식으로 말하나요? 가장 맘에 드는 별명이 있습니까?"
"429","팀에 들어가서 팀워크를 보여주었던 사례가 있으면 설명을 해 주세요."
"430","가격 경쟁력 개선 방안에 대한 본인의 의견은 무엇입니까?"
"431","그 회사를 선택한 이유가 무엇입니까?"
"432","팀을 위해 희생한 경험이 있습니까?"
"433","팀 프로젝트를 한 경험이 있습니까?"
"434","품질 개선 방안에 대해 어떻게 생각합니까?"
"435","품질 등급이 회사별로 어떻게 되는지 압니까?"
"436","품질이 필요한 이유와 그렇게 생각하는 이유는 무엇입니까?"
"437","A회사를 다니면서 지원한 이유는 무엇인가요?"
"438","기사에서 나온 얘기 말고 직접 현대자동차를 운전하면서 느낀 장단점은 무엇인가요?"
"439","변속기를 다단화시킬 수 있는 방법 중에 본인이 창의적으로 생각해 본 해결 방안이 있습니까?"
"440","변속기의 단수가 많아지면 자동차에 생기는 문제점은 무엇인가요?"
"441","본인이 제시한 창의적인 대안과, 기존에 있던 대안과의 장단점을 말해보세요."
"442","오늘 면접이 안되면 받았던 것 모두 돌려줘야겠네요?"
"443","A회사의 장단점은 무엇인가요?"
"444","가장 도전적이었던 경험은 무엇입니까?"
"445","가장 힘들었던 경험을 말해보세요."
"446","갈등 상황이 있었나요?"
"447","그 회사를 선택한 이유가 무엇입니까?"
"448","그건 기사에서 나온 것 말고, 직접 현대자동차를 운전하면서 느낀 장단점은 무엇입니까?"
"449","글로벌 엔지니어의 꿈을 이루기 위해서 몇 년이 필요한가?"
"450","기업의 복리후생을 아십니까?"
"451","동아리 활동을 하며 가장 어려웠던 일과 가장 행복했던 일에 대해 말해보세요 ."
"452","마지막으로 어필하고 싶은 부분이 있다면 얘기해보세요."
"453","마지막으로 하고 싶은 말이 있습니까?"
"454","목표를 세워 노력한 경험이 있나요?"
"455","본인 의견이 소수에 속하는 의견일 때 어떻게 할 것입니까?"
"456","본인은 행복하다고 생각하나요?"
