"","questions"
"149","KT상품을 쓰면서 불편했던 점은?"
"150","KT의 상품을 이용해 본 경험이 있나?"
"151","그렇다면 그 중에서 몇 명만큼은 영업을 할 수 있겠습니까?"
"152","휴대폰에 저장되어 있는 사람이 몇 명인가요?"
"153","대학원 과정이 자신의 목표인지 과정인지를 답해보시오"
"154","리눅스 유닉스 로그인 설정파일은?"
"155","셔츠를 왜 다려오지 않았는가?"
"156","유무선 네트워크의 차이점이 무엇인가?"
"157","자바에 대해 설명하시오"
"158","자신의 역량을 KT에 어떻게 기여할 수 있는가"
"159","자신의 역량을 KT에서 활용했을 때 어떤 신사업을 발굴할 수 있는가?"
"160","최근 가장 감명받은 것은?"
"161","코어망과 액세스망이 무엇인가?"
"162","프로젝트 경험이 있는가?"
"163","KT 5대 미래 융합과제를 써놓았는데 뭔지 알고 있는가?"
"164","KT의 이미지는?"
"165","통신쪽에서 보면 광대역하면서 정작 SK보단 안터지는 곳이 많습니다. 이유가 무엇인가요?"
"166","KT에 대해 궁굼했던 점이나 고객입장에서 불만을 느꼈던 적은 없었나?"
"167","자신의 경험중 영업과 관련된 경험이 있는가?"
"168","팀 프로젝트 시에 본인이 맡은 역할은?"
"169","1분 자기소개를 해보세요."
"170","사람들이 나의 팬이 되도록 했던 경험이 있나요?"
"171","마케팅에 관해서 본인이 생각나는 대로 말해보세요."
"172","상사과 퇴근 안하는데 본인은 퇴근 할 것인가?"
"173","자기소개를 1분 이내로 해주세요."
"174","지원자의 취미가 무엇입니까?"
"175","휴학기간 동안 무엇을 했는가?"
"176","본인이 KT에 입사해서 어떤 일을 할 수 있는지 말해보세요."
"177","인프라, IT에 용어에 대해 설명해보세요."
"178","KT 인재상에 가장 부합하는 성격이 무엇이라고 생각합니까?"
"179","당신의 성격은어떤편인가요?"
"180","공모전 상 받은 것에 대해 말해보라"
"181","마지막으로 하고 싶은 말은?"
"182","자기소개하기"
"183","회사의 가치관과 본인의 가치관이 다르다면?"
